型号,尺寸（mm）,阻抗(Ω),功率（W）,链接
10mm喇叭薄圆形8欧0.5w扬声器（1个）,10,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62&skuId=3740943541801
圆形8欧1W 直径10mm小喇叭扬声器 带线（1个）,10,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202119&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
圆形8欧1W 直径13mm小喇叭扬声器 带线（1个）,13,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202120&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
圆形8欧1W 直径15mm小喇叭扬声器 带线（1个）,15,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202121&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
圆形8欧1W 直径16mm小喇叭扬声器 带线（1个）,16,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202122&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
圆形8欧1W 直径18mm小喇叭扬声器 带线（1个）,18,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202123&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
圆形8欧1W 直径20mm小喇叭扬声器 带线（1个）,20,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202124&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径20mm 8欧 1W 小喇叭 铁壳内磁（1个）,20,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962450&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径21mm 8欧 0.25W 小喇叭 塑胶（5个）,21,8,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962441&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径21mm 8欧 0.25W 小喇叭 塑胶环保（5个）,21,8,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962442&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭扬声器23mm8欧0.5w（1个）,23,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541795&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径23mm 8欧 1W 小喇叭 铁壳内磁（1个）,23,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962451&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
圆形8欧1W 直径25mm小喇叭扬声器 带线（1个）,25,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4652953202125&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
26mm喇叭扬声器8欧1瓦（1个）,26,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541796&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭26mm圆形薄铁壳8欧0.5瓦（1个）,26,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541807&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径26mm 8欧 1W 小喇叭 铁壳内磁（1个）,26,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962452&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径27mm 8欧 0.25W 小喇叭 塑胶（5个）,27,8,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962443&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径27mm 8欧 1W 小喇叭 铁壳内磁（1个）,27,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962453&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径28mm 8欧 1W 小喇叭 铁壳内磁（1个）,28,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962454&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径2.9CM 8欧 0.25瓦 8R/0.25W （5个）,29,8,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541792&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径29mm 16欧 0.25W 小喇叭 塑胶（5个）,29,16,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962444&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径29mm 32欧 0.25W 小喇叭 塑胶（5个）,29,32,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962445&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径29mm 8欧 0.25W 小喇叭 塑胶大磁（5个）,29,8,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962446&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径29mm 16欧 0.25W 小喇叭 塑胶环保大磁（5个）,29,16,0.25,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962447&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
30mm喇叭防水8欧0.5瓦（1个）,30,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541809&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径30mm 8欧 1W 小喇叭 铁壳内磁（1个）,30,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962455&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3.1CM 4欧2W双磁喇叭 扬声器（1个）,31,4,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5073828539079&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3.2CM 4欧3W双磁喇叭 扬声器（1个）,32,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5073828539080&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径32mm 8欧 1W 小喇叭 铁壳内磁（1个）,32,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962456&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭扬声器36mm内磁4欧3w（1个）,36,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541812&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭36mm8欧1W铁壳（1个）,36,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541800&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
